顾客编号,一月消费天数,一月消费额,二月消费天数,二月消费额,三月消费天数,三月消费额,四月消费天数,四月消费额
615,7,51.66,2,18.7,3,9.1,3,15.8
616,5,100.1,11,119.78,0,0,0,0
617,11,90.42,4,25.62,0,0,17,76.66
618,2,28.66,0,0,0,0,0,0
619,19,159.5,20,274.98,21,410.87,8,73.7
620,9,133.01,0,0,12,85.52,0,0
621,36,237.99,14,110.53,7,51.92,0,0
622,16,132.9,0,0,0,0,10,98.7
623,4,19.62,0,0,7,41.1,3,10.57
624,9,27.25,0,0,8,37.34,0,0
625,17,111.25,0,0,12,62.49,0,0
626,3,26.96,12,187.65,6,144.13,9,77.78
627,4,36.38,8,196.39,7,16.09,11,98.07
628,23,261.6,21,299.1,0,0,0,0
629,9,50.72,0,0,12,291.1,0,0
630,30,117,15,57.2,0,0,0,0
631,3,16.86,0,0,0,0,0,0
632,3,28.1,0,0,0,0,0,0
633,4,18.5,0,0,0,0,0,0
634,12,133.06,5,35.54,0,0,0,0
635,12,176.4,0,0,0,0,0,0
636,5,54.1,0,0,3,149.4,15,131.21
637,18,90.62,0,0,5,68.05,16,103.87
638,3,8.8,0,0,0,0,0,0
639,5,35.5,0,0,0,0,0,0
640,6,43.66,0,0,9,56.26,6,30.3
641,2,14.8,0,0,0,0,0,0
642,26,126.01,10,65.4,19,151.1,29,128.49
643,6,31.77,0,0,0,0,0,0
644,14,108.41,2,4.44,18,76.63,25,173.19
645,2,7.2,5,95.3,0,0,2,5.5
646,2,27.6,12,113.74,5,29.14,5,62.1
647,11,94.22,5,31.9,0,0,3,21.19
648,3,27.76,0,0,0,0,0,0
649,4,14.01,0,0,0,0,0,0
650,3,17.35,0,0,11,52.07,6,52.12
651,3,31.52,14,70.54,15,188.54,0,0
652,2,24.3,0,0,0,0,0,0
653,1,18.9,0,0,0,0,0,0
654,1,9.9,5,477.5,0,0,0,0
655,1,22.9,0,0,0,0,0,0
656,7,118.06,0,0,3,40.28,0,0
657,1,11.97,0,0,0,0,21,183.19
658,25,246.77,2,16.4,9,75.53,21,128.53
659,2,64.32,0,0,0,0,3,25.81
660,4,108.38,17,290.28,0,0,0,0
661,5,32.06,13,83.92,3,9.81,12,63.64
662,13,171.59,0,0,0,0,0,0
663,3,16.69,0,0,0,0,0,0
664,3,19.5,0,0,4,41.4,15,149.67
665,6,98.6,1,58.8,0,0,1,10.9
666,15,109.26,52,432.2,14,240.56,17,159.29
667,11,144.7,0,0,0,0,0,0
668,9,48.25,3,9.96,6,45.71,0,0
669,22,188.83,0,0,0,0,15,156.48
670,14,209.46,2,37.6,0,0,0,0
671,3,31.9,2,15.6,0,0,0,0
672,13,100.09,0,0,0,0,0,0
673,8,117.16,0,0,2,26.9,4,38.68
674,2,148.8,0,0,0,0,0,0
675,10,89.14,36,277.96,0,0,6,46.93
676,15,76.68,3,9.7,7,30.95,10,61.08
677,19,274.02,19,355.57,1,5.3,7,30.68
678,4,72.35,0,0,0,0,2,21.14
679,2,14.49,0,0,0,0,4,31.3
680,3,39.7,10,61.7,0,0,0,0
681,14,82.08,2,7.68,0,0,0,0
682,10,162.87,10,48.45,31,484.55,4,35.21
683,5,30.55,4,6.81,2,13.72,5,27.6
684,11,57.6,21,164.42,3,59.6,6,31.44
685,2,24.9,0,0,0,0,0,0
686,6,68.92,0,0,0,0,0,0
687,16,90.91,12,296.1,0,0,0,0
688,2,73.8,0,0,0,0,0,0
689,10,52.04,0,0,8,53.52,14,155.27
690,3,56.7,0,0,0,0,0,0
691,9,72.25,0,0,0,0,0,0
692,3,19.65,0,0,0,0,0,0
693,3,61.2,3,24.8,1,12.84,0,0
694,6,24.62,0,0,0,0,1,9.9
695,1,19.9,0,0,0,0,0,0
696,13,48.96,0,0,0,0,0,0
697,8,88.29,0,0,5,78.5,3,45.5
698,9,115.76,14,148.37,36,294.44,9,76.06
699,1,72,0,0,0,0,0,0
700,4,94.81,0,0,0,0,0,0
701,1,12.9,0,0,1,34.8,0,0
702,7,49.29,0,0,0,0,0,0
703,1,11.17,0,0,0,0,0,0
704,2,65.9,0,0,2,14.6,4,46.33
705,1,55.68,0,0,0,0,0,0
706,6,52.72,7,203.41,0,0,18,129.07
707,1,3.3,0,0,0,0,0,0
708,8,59.61,0,0,0,0,0,0
709,9,85.92,0,0,0,0,0,0
710,9,90.2,0,0,0,0,0,0
711,16,208.03,0,0,0,0,0,0
712,7,53,0,0,0,0,4,50.35
713,13,54.01,0,0,0,0,2,29.53
714,1,10,5,12.63,0,0,0,0
715,6,26.7,0,0,0,0,0,0
716,12,57.5,54,689.45,0,0,8,65
717,2,52.4,0,0,0,0,0,0
718,17,89.55,2,48.9,4,309.59,4,15.3
719,6,32.6,0,0,0,0,3,108.52
720,3,23.4,0,0,0,0,0,0
721,13,77.89,0,0,0,0,9,43.62
722,15,66.81,10,34.91,5,19.13,0,0
723,11,81.27,0,0,0,0,0,0
724,6,100.94,0,0,0,0,0,0
725,4,24.32,0,0,0,0,0,0
726,2,41.9,40,309.12,0,0,0,0
727,7,45.85,0,0,0,0,4,28.13
728,2,28.9,0,0,0,0,11,46.9
729,18,104.6,26,284.53,6,31.7,19,140.86
730,12,174.7,0,0,20,274.59,40,398.07
731,2,7.01,18,41.04,7,30.01,9,33.75
732,29,162.24,8,34.57,11,55.17,29,253.03
733,12,94.64,16,103.91,10,107.38,20,154.46
734,11,21.79,0,0,0,0,0,0
735,5,51.24,0,0,0,0,0,0
736,7,88.65,2,36.7,9,81.97,1,47
737,7,113.79,0,0,0,0,0,0
738,5,46.61,2,27,1,16,0,0
739,3,25.8,14,308.43,0,0,0,0
740,1,6,8,79.81,5,21.43,12,95.32
741,4,54.41,8,41.09,0,0,3,16.48
742,7,53.03,0,0,0,0,0,0
743,5,56.4,2,18.9,0,0,0,0
744,6,21.77,0,0,0,0,0,0
745,22,232.8,5,111.73,0,0,6,188.49
746,19,677.32,0,0,0,0,5,90.55
747,8,118.9,0,0,0,0,0,0
748,4,33.8,4,128.8,0,0,6,52.4
749,18,118.48,0,0,0,0,0,0
750,21,176.39,9,67.47,0,0,6,51.52
751,5,45.12,0,0,0,0,15,223
752,6,117.54,17,208.06,11,177.1,16,119.89
753,6,35.79,3,20.23,0,0,9,79.59
754,15,73.01,4,19.86,0,0,9,148.77
755,10,53.95,0,0,4,65.04,7,42.6
756,8,131.67,0,0,0,0,0,0
757,6,38.95,10,31.62,9,41.32,0,0
758,45,291.04,42,308.24,43,284.27,20,162.38
759,4,35.1,0,0,0,0,7,44.5
760,4,23.83,0,0,0,0,0,0
761,7,14.55,9,51.9,21,321.93,6,66.3
762,5,8.78,0,0,0,0,0,0
763,12,125.55,31,222.79,28,225.39,25,195.43
764,7,50.1,0,0,0,0,6,56
765,4,33.18,0,0,0,0,9,38.4
766,6,39.45,0,0,12,68.46,25,179
767,5,18.64,0,0,0,0,0,0
768,9,40.01,0,0,0,0,0,0
769,8,40.19,13,55.45,25,199.65,17,100.32
770,2,88.9,3,48.7,11,173.72,8,149.3
771,6,17.43,0,0,0,0,0,0
772,11,41.98,0,0,0,0,0,0
773,2,13,8,69.7,3,19.1,3,11.74
774,3,218.9,7,107.5,0,0,6,30.53
775,2,15.6,0,0,0,0,0,0
776,2,16.99,0,0,0,0,0,0
777,3,38.82,0,0,1,8.9,4,24.62
778,2,11,0,0,0,0,0,0
779,6,58.46,0,0,3,35.9,2,9.49
780,8,95.45,1,16.9,14,167,5,29.24
781,6,25.16,0,0,0,0,0,0
782,3,32.92,5,631.2,14,137.27,5,59.21
783,18,63.65,5,46.95,35,251.31,31,270.74
784,4,42.4,0,0,0,0,0,0
785,15,168.38,15,63.55,6,45.49,7,40
786,3,43.08,5,82.86,0,0,9,69.08
787,10,138.43,6,121.95,12,141.52,3,64.8
788,13,80.92,0,0,0,0,10,96.64
789,6,110.39,0,0,4,102.4,0,0
790,16,103.13,0,0,0,0,0,0
791,16,205.89,0,0,6,54,20,180.55
792,7,61.47,7,189.08,8,195.24,1,34.8
793,3,26.3,0,0,0,0,0,0
794,4,82.57,0,0,0,0,0,0
795,9,52.37,3,10.7,1,6.7,0,0
796,17,206.5,59,613.47,3,133.2,22,163.96
797,7,48,0,0,0,0,8,60.5
798,1,2.96,0,0,0,0,0,0
799,6,45.92,0,0,0,0,0,0
800,7,44.39,1,18.9,0,0,0,0
801,10,43.28,0,0,4,44.11,0,0
802,4,26.5,0,0,0,0,0,0
803,11,84.1,32,430.46,6,39.54,10,187.37
804,25,131.47,0,0,25,146.98,7,63.51
805,9,47.08,22,139.65,5,57.28,16,114.64
806,5,25.1,0,0,0,0,0,0
807,11,36.22,0,0,0,0,0,0
808,3,19.34,0,0,4,36.14,10,48.46
809,13,103.12,8,58.93,0,0,0,0
810,6,77.3,0,0,0,0,0,0
811,5,37.95,11,87.84,12,74.08,3,17.99
812,9,41.4,12,98.89,0,0,0,0
813,1,6.74,0,0,0,0,0,0
814,4,13.41,27,226.24,0,0,16,93.3
815,3,10.4,0,0,0,0,0,0
816,4,119.31,8,52.18,0,0,10,99.42
817,2,68.85,0,0,0,0,0,0
818,9,30.42,13,67.38,0,0,0,0
819,4,26.7,24,270.25,16,160.19,21,276.47
820,4,20.8,0,0,1,11.97,0,0
821,3,23.68,0,0,0,0,0,0
822,3,19.68,0,0,0,0,0,0
823,11,113.84,0,0,0,0,0,0
824,12,102.64,0,0,2,29.8,0,0
825,8,119.72,0,0,0,0,0,0
826,5,46.25,1,3.9,0,0,0,0
827,21,166.85,0,0,16,83.43,0,0
828,2,5.9,0,0,0,0,0,0
829,2,11.1,0,0,0,0,0,0
830,2,23,0,0,0,0,0,0
831,18,115.52,0,0,0,0,0,0
832,22,154.68,0,0,0,0,0,0
833,10,137.9,9,154.12,2,16.86,2,53.9
834,29,436.93,49,462.2,51,473.94,7,52.65
835,13,51.4,19,92.25,40,182.29,20,107.51
836,17,103.06,25,315.86,0,0,10,186.71
837,12,230.04,0,0,0,0,0,0
838,6,29.41,0,0,5,53.78,0,0
839,32,558.44,3,28.2,3,132.81,0,0
840,7,61.13,0,0,0,0,0,0
841,29,916.44,0,0,0,0,0,0
842,6,34.5,23,203.95,3,74.54,25,316.47
843,20,97.04,0,0,25,167.8,20,122.16
844,7,45.65,0,0,0,0,3,37.6
845,14,54.98,9,57.13,21,398.9,4,13.58
846,1,36.9,6,93.6,3,45.6,7,85.3
847,25,329.99,23,166.42,18,194.22,29,264.32
848,5,23.61,0,0,0,0,0,0
849,2,92.7,18,276.72,13,180.72,1,24.9
850,3,18.75,0,0,0,0,0,0
851,13,59.12,0,0,8,23.79,6,34.75
852,2,53.6,0,0,0,0,0,0
853,7,82.75,11,78.02,21,260.81,9,64.48
854,3,31.9,2,20.3,0,0,0,0
855,5,53.3,0,0,0,0,0,0
856,9,27.02,0,0,0,0,0,0
857,13,74.74,7,237.5,10,48.16,8,44.19
858,12,77.2,0,0,13,49.69,0,0
859,17,131.39,3,27.37,0,0,0,0
860,3,18,15,138.35,0,0,0,0
861,19,123.55,0,0,0,0,0,0
862,4,26.22,14,100.27,15,64.46,0,0
863,4,36.6,5,60.5,0,0,0,0
864,4,26.6,0,0,0,0,0,0
865,10,72.36,12,122.17,0,0,0,0
866,4,94.02,17,440.55,9,110.65,22,162.62
867,7,102.7,0,0,0,0,6,44.47
868,14,185.32,0,0,0,0,0,0
869,4,29.6,0,0,0,0,0,0
870,2,13.6,0,0,0,0,1,10.8
871,3,64.1,11,77.11,16,463.75,20,250.89
872,5,27.83,0,0,0,0,0,0
873,1,49.9,0,0,2,12.09,0,0
874,1,11.19,0,0,8,144.81,10,90.04
875,6,76.2,0,0,0,0,15,191.95
876,11,95.48,0,0,0,0,0,0
877,5,16.89,0,0,11,179.48,26,124.06
878,14,102.73,0,0,9,35.54,6,28.33
879,9,82.11,2,40.47,0,0,10,132.65
880,5,50.3,2,7,0,0,0,0
881,9,99.63,2,12.62,3,5.5,7,29.87
882,7,20.94,0,0,0,0,0,0
883,12,148.53,0,0,0,0,2,11.4
884,6,58.41,0,0,0,0,0,0
885,4,38.28,0,0,5,25.38,0,0
886,1,7.98,2,7.49,3,11.9,6,28.06
887,1,58.8,20,153.14,9,115.18,0,0
888,3,31.2,0,0,0,0,0,0
889,1,76,7,349.2,2,77.55,0,0
890,2,21.2,0,0,0,0,0,0
891,4,15.63,0,0,8,52.51,0,0
892,13,148.67,0,0,0,0,0,0
893,5,38.96,8,24.64,2,14.8,0,0
894,6,28.04,4,8.4,0,0,4,42.97
895,2,5.06,0,0,0,0,0,0
896,19,227.66,0,0,0,0,0,0
897,19,118.84,0,0,14,76.38,0,0
898,4,28.46,0,0,6,52.39,0,0
899,1,23.3,0,0,0,0,2,45.6
900,15,188.78,4,39.8,7,36.01,0,0
901,4,24.57,0,0,4,19.68,0,0
902,5,12.83,5,13.52,4,27.95,0,0
903,8,56.9,7,29.55,0,0,0,0
904,7,25.64,0,0,0,0,0,0
905,9,396.81,0,0,0,0,0,0
906,2,17.8,0,0,15,120.59,0,0
907,4,11.8,7,28.42,0,0,4,58.91
908,2,50,0,0,0,0,0,0
909,7,96,6,67.7,0,0,0,0
910,6,41.1,0,0,13,148.8,4,32.43
911,12,140.5,40,352.99,0,0,21,106.45
912,6,20.5,0,0,0,0,0,0
913,19,197.02,40,292.83,14,68.1,16,154.02
914,8,105.61,0,0,17,86.21,0,0
915,4,130.1,0,0,5,38.28,4,33.9
916,4,23.26,12,102.09,13,77.55,19,310.98
917,5,70.66,3,19.6,3,44.3,0,0
918,5,19.46,0,0,0,0,0,0
919,5,74.6,0,0,0,0,0,0
920,4,34.9,0,0,0,0,0,0
921,7,54.8,0,0,2,47.9,0,0
922,18,120.62,0,0,0,0,10,86
923,7,70.4,0,0,0,0,10,68.45
924,11,86.1,12,164.9,7,100.6,0,0
925,22,162.73,38,1070.57,17,128.76,13,140.99
926,3,83.48,0,0,0,0,0,0
927,18,88.8,0,0,0,0,0,0
928,4,188,3,192.8,0,0,0,0
929,12,79.84,0,0,0,0,0,0
930,4,22.39,0,0,0,0,0,0
931,7,30.42,2,98,0,0,0,0
932,2,49.69,0,0,1,0.48,0,0
933,7,39.82,10,73.04,7,74.88,0,0
934,12,74.48,0,0,11,109.18,0,0
935,17,180,0,0,0,0,0,0
936,41,140.03,16,96.31,28,170.55,22,112.27
937,4,25.1,0,0,0,0,0,0
938,8,28.08,0,0,0,0,0,0
939,6,20.31,0,0,0,0,0,0
940,8,51.26,0,0,0,0,0,0
941,2,88.3,4,78.44,0,0,0,0
942,3,118.26,0,0,0,0,0,0
943,3,28.62,0,0,0,0,0,0
944,13,95.2,0,0,0,0,0,0
945,5,34.37,0,0,0,0,0,0
946,1,36.77,0,0,0,0,0,0
947,13,105.45,0,0,0,0,17,71.84
948,7,68.94,0,0,0,0,0,0
949,3,30.5,0,0,0,0,0,0
950,10,93.06,24,268,9,70.86,3,7.81
951,7,81.46,0,0,0,0,0,0
952,4,70.31,1,39.9,0,0,10,327.92
953,4,51.2,9,58.9,2,27.9,0,0
954,3,64.15,0,0,8,74.62,10,53.58
955,4,43.34,0,0,0,0,0,0
956,1,3.03,9,263.2,5,8.39,14,146.35
957,9,69.44,0,0,0,0,0,0
958,1,122.76,0,0,0,0,0,0
959,10,128.26,5,41.01,2,7.8,0,0
960,4,23.2,0,0,0,0,0,0
961,2,8.7,0,0,0,0,0,0
962,19,198.18,37,411.37,8,127.9,0,0
963,9,75.7,28,183.93,5,85.7,28,520.4
964,2,14.9,0,0,7,71.26,0,0
965,17,182.14,0,0,0,0,0,0
966,8,80.4,0,0,0,0,0,0
967,10,38.9,0,0,0,0,0,0
968,10,87.11,13,69.59,17,137.97,33,352.27
969,3,15.25,27,303.33,3,73.04,2,208.5
970,18,158.24,0,0,0,0,0,0
971,19,132.26,0,0,2,28.6,20,92.32
972,4,90.02,0,0,0,0,0,0
973,4,28,0,0,10,81.56,16,109
974,2,33.61,0,0,0,0,0,0
975,4,61.9,14,178.6,0,0,3,43.5
976,14,95.37,2,17.85,27,187.88,9,77.74
977,3,13.08,3,26.7,0,0,4,91.25
978,3,26.79,9,36.76,6,19.6,7,84.33
979,2,24.48,0,0,0,0,4,47.66
980,2,61.34,0,0,19,174.69,0,0
981,1,26.15,0,0,0,0,0,0
982,2,41.99,0,0,3,109.4,0,0
983,2,72.6,16,170.03,0,0,4,41.44
984,5,24.24,0,0,0,0,0,0
985,2,308.3,0,0,0,0,0,0
986,44,1856.81,0,0,14,754.43,0,0
987,13,74.83,0,0,0,0,0,0
988,11,40.19,0,0,3,25.74,9,76.85
989,3,45.55,0,0,0,0,3,44.13
990,11,53.74,0,0,0,0,0,0
991,18,79.78,3,131.65,0,0,0,0
992,5,14.9,0,0,0,0,0,0
993,8,53.04,2,59,0,0,0,0
994,4,32.06,2,8.47,0,0,0,0
995,6,72.16,0,0,0,0,0,0
996,5,23.61,4,7.95,1,7.9,6,25.74
997,6,33.06,5,92.13,0,0,0,0
998,14,109.51,0,0,0,0,0,0
999,15,95.9,30,226.07,15,92.98,16,121.4
1000,6,111.44,0,0,0,0,0,0
1001,5,26.5,3,16.5,0,0,3,16.4
1002,4,124.5,0,0,0,0,10,43.03
1003,3,59.9,13,162.38,0,0,9,67.26
1004,2,13,0,0,3,16.4,6,40.4
1005,2,92.24,0,0,0,0,0,0
1006,1,20.3,0,0,0,0,0,0
1007,12,162.1,14,130.15,0,0,0,0
1008,1,8.9,3,29.3,21,145.14,4,55.18
1009,1,19.9,0,0,3,22.2,0,0
1010,1,18.8,13,220.63,0,0,0,0
1011,9,36.58,8,24.72,8,50.61,22,134.85
1012,6,29.97,0,0,0,0,6,19.49
1013,17,151.47,0,0,7,33.2,0,0
1014,6,54.9,0,0,0,0,0,0
1015,3,88.2,0,0,0,0,5,32.8
1016,4,135.8,0,0,5,70.74,0,0
1017,6,31.13,0,0,0,0,0,0
1018,3,33.16,5,43.4,2,98,22,173.25
1019,14,70.71,0,0,0,0,10,70.9
1020,5,36.5,6,51.33,0,0,0,0
1021,4,74.32,0,0,0,0,0,0
1022,2,46.3,0,0,0,0,0,0
1023,2,20.2,0,0,0,0,0,0
1024,18,155.35,3,14.05,5,18.31,22,126.91
1025,2,31.79,0,0,0,0,0,0
1026,4,235.6,9,239.3,0,0,6,92.77
1027,1,14.9,0,0,0,0,0,0
1028,1,44.9,0,0,3,37.5,4,29.89
1029,2,92.7,0,0,0,0,0,0
1030,2,27.2,11,74.16,0,0,8,68.82
1031,1,1,2,48.9,3,32.1,4,40.71
1032,1,58.8,0,0,0,0,0,0
1033,13,95.3,0,0,0,0,0,0
1034,3,31.31,0,0,0,0,0,0
1035,5,20.94,6,204.3,0,0,0,0
1036,10,97.04,11,161.57,0,0,13,59.04
1037,6,57.4,0,0,8,62.9,9,69
1038,6,10.94,0,0,0,0,0,0
1039,3,153.2,0,0,0,0,0,0
1040,16,91.3,0,0,0,0,0,0
1041,2,21.94,8,29.18,16,139.71,8,54.9
1042,4,172.8,9,80.2,5,48.8,0,0
1043,14,195.18,1,23.58,0,0,6,34.73
1044,6,291.59,0,0,0,0,0,0
1045,4,21.46,0,0,0,0,2,10.2
1046,3,34.3,4,77.56,3,19.9,3,57.04
1047,5,27.4,3,43.99,0,0,0,0
1048,2,98.4,0,0,0,0,0,0
1049,5,43.6,5,182.13,0,0,5,93.07
1050,6,63.4,0,0,0,0,0,0
1051,4,128.99,2,16.34,0,0,0,0
1052,5,22.06,0,0,0,0,0,0
1053,9,152.49,1,14,0,0,23,146.65
1054,3,30.9,0,0,5,40.6,12,153.26
1055,18,139,2,138.3,0,0,0,0
1056,2,29.7,7,58.77,3,20.66,0,0
1057,3,21.96,0,0,0,0,0,0
1058,8,79.46,0,0,1,48,13,141.07
1059,8,40.63,0,0,6,26.98,6,261.25
1060,1,58.8,0,0,0,0,0,0
1061,5,38.71,11,72.28,20,240.45,0,0
1062,4,79.01,0,0,0,0,0,0
1063,6,39.82,0,0,0,0,0,0
1064,16,584.3,24,435.65,11,152.92,11,59.98
1065,2,10.8,3,72.79,4,19.5,0,0
1066,6,59.73,0,0,0,0,0,0
1067,5,89.96,0,0,0,0,0,0
1068,29,181.84,11,37.75,0,0,6,16.26
1069,3,49.32,0,0,0,0,5,67.77
1070,15,110.06,0,0,0,0,0,0
1071,2,9.8,0,0,0,0,2,7.1
1072,5,24.8,0,0,6,27.83,8,39.08
1073,9,45.98,6,59.97,0,0,0,0
1074,7,59.78,7,46.11,12,30.51,0,0
1075,10,98.72,0,0,0,0,0,0
1076,2,121.69,0,0,0,0,0,0
1077,15,109.66,0,0,0,0,5,21.84
1078,7,26.01,0,0,0,0,7,55.78
1079,5,65.4,1,6.5,0,0,0,0
1080,4,19.5,0,0,0,0,0,0
1081,3,8.39,13,85.21,4,84.5,0,0
1082,1,32.7,4,568.92,0,0,0,0
1083,1,9.12,6,251.77,42,402.11,8,85.94
1084,3,15.82,0,0,0,0,0,0
1085,2,4.11,0,0,0,0,0,0
1086,2,18.04,0,0,0,0,0,0
1087,1,7.8,2,30.43,0,0,0,0
1088,1,6.7,0,0,5,11.33,0,0
1089,1,58.8,0,0,0,0,0,0
1090,7,25.01,0,0,0,0,0,0
1091,17,110.1,0,0,0,0,0,0
1092,12,56.94,0,0,0,0,0,0
1093,25,621.99,0,0,0,0,0,0
1094,3,14.3,0,0,1,6.24,0,0
1095,3,8.1,0,0,0,0,0,0
1096,6,58.73,6,138.01,6,51.3,9,92.34
1097,10,55.73,16,130.23,7,104.21,7,115.76
1098,6,218.63,0,0,1,11.9,0,0
1099,11,73.7,0,0,0,0,8,77.67
1100,6,61.34,0,0,8,87.73,0,0
1101,18,157.9,0,0,0,0,0,0
1102,16,134.14,0,0,0,0,0,0
1103,3,24.6,0,0,0,0,6,21.87
1104,6,86.43,9,69.65,17,193.91,6,52.37
1105,3,38.3,30,313.04,17,143.5,0,0
1106,3,101.02,0,0,6,18,1,1.4
1107,6,16.92,12,194.44,0,0,2,21.7
1108,1,5.9,0,0,0,0,0,0
1109,6,24.9,0,0,0,0,4,52.65
1110,3,26.02,0,0,0,0,0,0
1111,2,8.29,0,0,0,0,0,0
1112,2,105.4,0,0,0,0,0,0
1113,4,45.4,0,0,0,0,0,0
1114,11,104.89,0,0,0,0,0,0
1115,5,21.2,0,0,0,0,0,0
1116,4,93.01,0,0,0,0,0,0
1117,7,26.11,0,0,0,0,7,35.65
1118,4,282.8,0,0,0,0,0,0
1119,8,57.92,16,473.72,16,189.78,35,440.44
1120,5,80.58,3,98,0,0,0,0
1121,10,64.36,0,0,0,0,0,0
1122,24,95.57,5,30.85,0,0,16,74.33
1123,6,63.8,0,0,7,82.56,5,69.36
1124,7,137.4,0,0,0,0,0,0
1125,3,11.04,0,0,0,0,0,0
1126,3,84.66,8,90.11,0,0,0,0
1127,5,71.05,8,149.47,0,0,0,0
1128,4,23.74,0,0,5,16.84,0,0
1129,4,56.25,0,0,1,8.9,7,106.2
1130,11,90.78,1,1.89,8,81.9,13,117.75
1131,4,20.91,10,119,0,0,0,0
1132,1,50.1,0,0,0,0,0,0
1133,20,295.53,48,392.91,22,203.03,25,242.78
1134,9,23.6,0,0,0,0,0,0
1135,14,103.63,5,61.63,0,0,0,0
1136,2,23.21,19,190.51,0,0,1,12.9
1137,9,56.6,2,87,0,0,0,0
1138,3,19.19,0,0,2,8.3,0,0
1139,12,86.22,4,49.72,16,113.01,2,14.4
1140,5,133.23,2,99.82,4,47.39,0,0
1141,2,18.7,0,0,0,0,0,0
1142,4,17.68,0,0,0,0,0,0
1143,2,14.1,0,0,0,0,0,0
1144,2,14.7,0,0,0,0,2,38.4
1145,3,38.54,0,0,0,0,0,0
1146,6,22.28,0,0,0,0,2,28.26
1147,3,52.4,0,0,0,0,0,0
1148,2,16.43,0,0,0,0,0,0
1149,5,16.19,0,0,0,0,0,0
1150,9,187.88,0,0,0,0,0,0
1151,4,32.74,0,0,0,0,0,0
1152,5,77.07,0,0,0,0,0,0
1153,3,105,5,41.1,14,92.59,6,103.53
1154,2,29.97,0,0,0,0,0,0
1155,5,63.25,0,0,0,0,9,67.87
1156,6,46.5,0,0,0,0,0,0
1157,1,56,0,0,0,0,0,0
1158,1,2,0,0,10,34.38,3,7.5
1159,1,33.9,0,0,0,0,0,0
1160,6,28.01,0,0,0,0,0,0
1161,9,200.73,0,0,4,77.37,0,0
1162,4,29.5,0,0,0,0,0,0
1163,11,95,2,64.02,0,0,0,0
1164,7,56.84,11,83.8,2,36.6,15,108.33
1165,4,18.72,0,0,0,0,0,0
1166,5,38.88,0,0,0,0,0,0
1167,3,32.9,0,0,0,0,11,117.2
1168,3,17.1,5,14.34,0,0,0,0
1169,2,124,0,0,0,0,0,0
1170,15,90.2,22,192.38,15,160.32,15,139.92
1171,1,17.9,7,50.39,3,19.67,0,0
1172,1,3.9,0,0,0,0,9,26.68
1173,5,34.15,0,0,6,42.89,6,59.55
1174,2,14.6,0,0,1,6.9,14,88.3
1175,2,16.8,0,0,0,0,0,0
1176,4,7.18,7,60.5,0,0,11,75.45
1177,7,25.03,6,13114.75,17,457.28,0,0
1178,3,21.3,3,24.3,2,13.5,0,0
1179,1,10.5,0,0,0,0,0,0
1180,3,35.5,0,0,0,0,0,0
1181,1,12.79,0,0,2,24.22,0,0
1182,1,6.7,0,0,0,0,0,0
1183,2,8.3,0,0,0,0,0,0
1184,8,82.58,0,0,0,0,0,0
1185,8,66.2,7,50.8,17,176.8,9,76.8
1186,6,29.53,0,0,0,0,0,0
1187,17,284.89,1,32.9,15,165.2,22,340.23
1188,4,45.9,4,53.79,11,79.32,0,0
1189,1,10.9,0,0,0,0,0,0
1190,6,24.34,0,0,21,101,0,0
1191,3,12.6,0,0,0,0,0,0
1192,1,79.9,8,75.65,0,0,0,0
1193,1,21.46,0,0,0,0,0,0
1194,4,45.2,0,0,0,0,0,0
1195,2,5.6,0,0,0,0,0,0
1196,4,27.4,1,246,10,124.18,10,55.33
1197,2,12.31,2,10.43,0,0,0,0
1198,5,39.12,0,0,5,8.82,4,121.02
1199,12,41.47,0,0,0,0,17,148.25
1200,8,48.96,20,104.15,3,27.5,0,0
1201,3,34.94,7,35.3,4,49.93,0,0
1202,15,170.51,5,75.05,0,0,0,0
1203,6,218.6,0,0,0,0,0,0
1204,5,39.87,24,197.76,10,107.6,15,106.99
1205,6,42.93,7,181.6,1,4.7,0,0
1206,11,66.6,0,0,0,0,0,0
1207,5,31.14,0,0,0,0,0,0
1208,1,3.9,0,0,0,0,0,0
1209,3,18.74,5,21.44,6,45.18,0,0
1210,8,201.78,0,0,0,0,0,0
1211,2,12.7,0,0,15,135.99,13,203.59
1212,11,71.25,4,83.04,14,112.4,16,120.02
1213,7,80.1,0,0,0,0,0,0
1214,5,148.8,0,0,0,0,0,0
1215,7,211.54,44,720.62,5,35.16,0,0
1216,2,19.4,22,301.64,4,23.17,0,0
1217,3,29.6,0,0,0,0,0,0
1218,2,7.63,0,0,0,0,0,0
1219,3,83.9,0,0,0,0,0,0
1220,5,84.5,0,0,0,0,0,0
1221,5,9.2,4,19.3,0,0,0,0
1222,3,17.4,0,0,0,0,0,0
1223,4,22.9,0,0,0,0,6,14.08
1224,2,22.4,0,0,3,18.7,0,0
1225,0,0,5,24.14,0,0,0,0
1226,0,0,5,55.28,5,83.66,17,229.28
1227,0,0,9,82.32,4,28.76,0,0
1228,0,0,5,88.84,6,28.2,10,144.79
1229,0,0,2,99,0,0,0,0
1230,0,0,28,290.13,9,94.82,4,93.44
1231,0,0,10,116.62,0,0,0,0
1232,0,0,15,121.54,0,0,6,104.15
1233,0,0,28,462.77,0,0,4,54.2
1234,0,0,6,67.39,4,11.85,0,0
1235,0,0,17,161.24,5,76.48,9,112.3
1236,0,0,5,47.95,0,0,0,0
